Time [ms],Currrent
351977,0.949304
352479,0.929157
352981,0.942857
353483,0.92674
353985,0.924322
354487,0.887253
354989,0.915458
355491,0.929157
355993,0.91304
356495,0.937216
356997,0.928352
357499,0.924322
358001,0.915458
358503,0.963004
359005,0.92674
359507,0.958974
360009,0.947692
360511,0.928352
361013,0.916264
361515,0.956557
362017,0.954139
362519,0.921099
363021,0.946886
363523,0.924322
364025,0.913846
364527,0.954139
365029,0.942857
365531,0.924322
366033,0.933993
366535,0.945275
367037,0.953333
367539,0.929157
368041,0.944469
368543,0.929963
369045,0.945275
369547,0.923516
370049,0.909817
370551,0.95978
371053,0.946886
371555,0.954139
372057,0.931575
372559,0.953333
373061,0.94044
373563,0.946886
374065,0.941245
374567,0.919487
375069,0.919487
375571,0.917875
376073,0.931575
376575,0.922711
377077,0.938828
377579,0.927546
378081,0.946081
378583,0.95978
379085,0.88967
379587,0.954139
380089,0.925934
380591,0.933993
381093,0.938828
381595,0.928352
382097,0.938828
382599,0.942857
383101,0.924322
383603,0.921905
384105,0.932381
384607,0.892088
385109,0.943663
385611,0.933993
386113,0.928352
386615,0.943663
387117,0.954945
